,dt,bid_count,position_count,cash_value,positions_value,total_value
91,2020-01-21,1,7,14186.860987091053,85477.35748291016,99664.21847000121
92,2020-01-22,0,7,14186.860987091053,85712.33329772949,99899.19428482055
93,2020-01-23,0,7,14186.860987091053,85664.22386169434,99851.0848487854
94,2020-01-24,1,8,1796.2409965515017,98125.27923583984,99921.52023239134
95,2020-01-27,1,8,1796.2409965515017,96269.34585571289,98065.58685226439
96,2020-01-28,0,8,1796.2409965515017,96521.72889709473,98317.96989364622
97,2020-01-29,0,8,1796.2409965515017,96279.51202392578,98075.75302047728
98,2020-01-30,2,7,7946.511553955066,90455.02243041992,98401.53398437498
99,2020-01-31,0,7,7946.511553955066,89664.43328857422,97610.94484252928
100,2020-02-03,1,7,7946.511553955066,90270.04623413086,98216.55778808592
101,2020-02-04,0,7,7946.511553955066,91793.28880310059,99739.80035705565
102,2020-02-05,1,6,19916.972270202627,80808.47053527832,100725.44280548094
103,2020-02-06,1,7,14785.814453124989,85881.56623840332,100667.3806915283
104,2020-02-07,0,7,14785.814453124989,86648.96240234375,101434.77685546874
105,2020-02-10,1,6,19928.076990509024,82114.16893005371,102042.24592056274
106,2020-02-11,0,6,19928.076990509024,82477.73971557617,102405.8167060852
107,2020-02-12,1,7,15313.463047027579,87225.08316040039,102538.54620742796
108,2020-02-13,0,7,15313.463047027579,87837.28523254395,103150.74827957152
109,2020-02-14,0,7,15313.463047027579,87706.02264404297,103019.48569107054
110,2020-02-18,1,8,10580.589374542227,92254.97970581055,102835.56908035277
111,2020-02-19,0,8,10580.589374542227,92538.68980407715,103119.27917861937
112,2020-02-20,1,7,21324.55825271606,81976.25045776367,103300.80871047973
113,2020-02-21,1,8,14085.789391326898,88594.56214904785,102680.35154037474
114,2020-02-24,1,8,14085.789391326898,85731.29615783691,99817.0855491638
115,2020-02-25,1,7,18101.78572082519,79070.4210281372,97172.2067489624
116,2020-02-26,0,7,18101.78572082519,79257.95269012451,97359.7384109497
117,2020-02-27,1,8,2607.418899536129,91578.9779663086,94186.39686584473
118,2020-02-28,0,8,2607.418899536129,90572.71556854248,93180.13446807861
119,2020-03-02,0,8,2607.418899536129,94141.41006469727,96748.8289642334
120,2020-03-03,1,8,2607.418899536129,91642.35610961914,94249.77500915527
121,2020-03-04,0,8,2607.418899536129,95680.81970214844,98288.23860168457
122,2020-03-05,1,7,7837.25579986572,87305.60817718506,95142.86397705077
123,2020-03-06,1,8,240.89146118163808,93298.03047180176,93538.9219329834
124,2020-03-09,1,8,240.89146118163808,86724.04327392578,86964.93473510742
125,2020-03-10,1,7,25180.700701904294,65083.7043762207,90264.405078125
126,2020-03-11,0,7,25180.700701904294,62183.628845214844,87364.32954711914
