date,action,company,yahoo_ticker,currency,num_shares,stock_price_usd,trading_costs_usd,total_usd,total_shares_held,return
"06/13/2022, 11:14:48",SELL,AAL,AAL,USD,750,13.32,0,-9990,0,
"06/15/2022, 14:25:45",BUY,LYV,LYV,USD,114,87.31500244,0,9953.910278,114,[1.6601785e-05]
"06/15/2022, 14:37:18",SELL,LYV,LYV,USD,114,87.62,0,-9988.68,0,0.003493072
"06/15/2022, 14:56:42",BUY,AMAT,AMAT,USD,102,97.39956466,0,9934.755595,102,0.000105127
"06/15/2022, 15:08:14",SELL,AMAT,AMAT,USD,102,97.42,0,-9936.84,0,0.000209809
"06/16/2022, 10:39:02",BUY,PNW,PNW,USD,147,67.98523053,0,9993.828888,147,0.0001772
"06/16/2022, 10:50:37",SELL,PNW,PNW,USD,147,67.58,0,-9934.26,0,-0.005960567
"06/16/2022, 10:50:37",BUY,ROST,ROST,USD,136,73.20599747,0,9956.015656,136,8.05E-05
"06/16/2022, 11:02:48",SELL,ROST,ROST,USD,136,73.20599747,0,-9956.015656,0,0
"06/16/2022, 11:02:48",BUY,NCLH,NCLH,USD,945,10.57499981,0,9993.37482,945,5.68E-06
"06/16/2022, 11:15:06",SELL,NCLH,NCLH,USD,945,10.5325,0,-9953.2125,0,-0.004018895
"06/16/2022, 11:15:06",BUY,EMN,EMN,USD,113,88.05999756,0,9950.779724,113,0.000183414
"06/16/2022, 11:26:46",SELL,EMN,EMN,USD,113,87.92,0,-9934.96,0,-0.001589797
"06/16/2022, 11:45:47",BUY,DAL,DAL,USD,340,29.39999962,0,9995.99987,340,3.95E-05
"06/16/2022, 11:58:24",SELL,DAL,DAL,USD,340,29.44,0,-10009.6,0,0.001360557
"06/16/2022, 11:58:24",BUY,VRSK,VRSK,USD,63,158.0050049,0,9954.315308,63,8.44E-05
"06/16/2022, 12:12:07",SELL,VRSK,VRSK,USD,63,158.06,0,-9957.78,0,0.000348059
"06/16/2022, 12:12:07",SELL,BKNG,BKNG,USD,5,1855.969971,0,-9279.849854,-5,0
"06/16/2022, 12:25:48",BUY,BKNG,BKNG,USD,5,1857.75,0,9288.75,0,0.000959083
"06/16/2022, 12:25:48",BUY,UDR,UDR,USD,234,42.69333204,0,9990.239697,234,0.000153241
"06/16/2022, 12:39:30",SELL,UDR,UDR,USD,234,42.785,0,-10011.69,0,0.002147126
"06/16/2022, 12:39:30",BUY,CTRA,CTRA,USD,341,29.28499985,0,9986.184948,341,0.000188488
"06/16/2022, 12:54:12",SELL,CTRA,CTRA,USD,341,29.008,0,-9891.728,0,-0.009458762
"06/16/2022, 12:54:12",BUY,REGN,REGN,USD,17,557.710022,0,9481.070374,17,5.81E-05
"06/16/2022, 13:07:18",SELL,REGN,REGN,USD,17,556.09,0,-9453.53,0,-0.002904775
"06/16/2022, 13:07:18",BUY,HLT,HLT,USD,86,115.9409351,0,9970.920422,86,0.000246034
"06/16/2022, 13:20:26",SELL,HLT,HLT,USD,86,115.9409351,0,-9970.920422,0,0
"06/16/2022, 13:20:26",BUY,VRSK,VRSK,USD,63,157.552403,0,9925.801386,63,0.000119702
"06/16/2022, 13:33:11",SELL,VRSK,VRSK,USD,63,157.5625,0,-9926.4375,0,6.41E-05
"06/16/2022, 13:33:11",BUY,HLT,HLT,USD,86,115.6314261,0,9944.302647,86,7.28E-05
"06/16/2022, 13:46:54",SELL,HLT,HLT,USD,86,115.26,0,-9912.36,0,-0.003212156
"06/16/2022, 13:46:54",BUY,ANET,ANET,USD,111,89.41999817,0,9925.619797,111,6.86E-05
"06/16/2022, 14:01:36",SELL,ANET,ANET,USD,111,89.81,0,-9968.91,0,0.004361461
"06/16/2022, 14:01:36",BUY,NI,NI,USD,370,26.98500061,0,9984.450226,370,1.10E-05
"06/16/2022, 14:15:20",SELL,NI,NI,USD,370,27.2,0,-10064,0,0.007967366
"06/16/2022, 14:15:20",BUY,CTRA,CTRA,USD,347,28.75209999,0,9976.978697,347,0.000476238
"06/17/2022, 12:36:32",SELL,CTRA,CTRA,USD,347,26.835,0,-9311.745,0,-0.066676869
"06/17/2022, 12:36:32",BUY,BWA,BWA,USD,296,33.74000168,0,9987.040497,296,0.000323469
"06/17/2022, 12:48:13",SELL,BWA,BWA,USD,296,33.72,0,-9981.12,0,-0.000592818
"06/17/2022, 12:48:13",BUY,FDS,FDS,USD,28,351.8739335,0,9852.470138,28,0.000116737
"06/17/2022, 12:59:52",SELL,FDS,FDS,USD,28,351.02,0,-9828.56,0,-0.002426817
"06/17/2022, 12:59:52",BUY,DRE,DRE,USD,193,51.75,0,9987.75,193,0.000232199
"06/17/2022, 13:13:33",SELL,DRE,DRE,USD,193,51.765,0,-9990.645,0,0.000289855
"06/17/2022, 13:13:33",SELL,MTD,MTD,USD,8,1111.584961,0,-8892.679688,-8,0
"06/17/2022, 13:26:15",BUY,MTD,MTD,USD,8,1109.695,0,8877.56,0,-0.00170024
"06/17/2022, 13:26:15",BUY,FDS,FDS,USD,28,352.8099976,0,9878.679932,28,5.95E-05
"06/17/2022, 13:39:59",SELL,FDS,FDS,USD,28,352.59,0,-9872.52,0,-0.000623558
"06/17/2022, 13:39:59",BUY,BWA,BWA,USD,295,33.84999847,0,9985.74955,295,0.000156983
"06/17/2022, 13:52:41",SELL,BWA,BWA,USD,295,33.835,0,-9981.325,0,-0.000443086
"06/17/2022, 13:52:41",BUY,VMC,VMC,USD,68,146.3600006,0,9952.480042,68,0.00010634
"06/17/2022, 14:05:21",SELL,VMC,VMC,USD,68,146.22,0,-9942.96,0,-0.00095655
"06/17/2022, 14:05:21",BUY,O,O,USD,154,64.92009735,0,9997.694992,154,0.000151365
"06/17/2022, 14:19:05",SELL,O,O,USD,154,64.99,0,-10008.46,0,0.001076749
"06/17/2022, 14:19:05",BUY,MSI,MSI,USD,49,201.9299927,0,9894.569641,49,3.95E-05
"06/17/2022, 14:31:48",SELL,MSI,MSI,USD,49,203.75,0,-9983.75,0,0.009013061
"06/17/2022, 14:31:48",BUY,MKC,MKC,USD,120,82.96204203,0,9955.445043,120,6.46E-05
"06/17/2022, 14:46:29",SELL,MKC,MKC,USD,120,82.52,0,-9902.4,0,-0.005328244
"06/17/2022, 14:46:29",BUY,TDG,TDG,USD,19,518.576037,0,9852.944702,19,0.000210676
"06/17/2022, 15:00:12",SELL,TDG,TDG,USD,19,515.18,0,-9788.42,0,-0.006548773
"06/17/2022, 15:00:12",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 15:11:52",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 17:03:03",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 17:14:39",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 17:14:39",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 17:26:18",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 17:26:18",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 17:37:57",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 17:37:57",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 17:49:39",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 17:49:39",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 18:01:20",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 18:01:20",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 18:12:58",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 18:12:58",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 18:24:35",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 18:24:35",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 18:36:13",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 18:36:13",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 18:47:50",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 18:47:50",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 18:52:56",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 18:52:56",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/17/2022, 18:56:50",SELL,ZION,ZION,USD,190,52.26,0,-9929.4,0,-0.002957186
"06/17/2022, 18:56:50",BUY,ZION,ZION,USD,190,52.41500092,0,9958.850174,190,7.64E-06
"06/21/2022, 10:12:33",SELL,ZION,ZION,USD,190,53.35,0,-10136.5,0,0.017838387
"06/21/2022, 10:12:33",BUY,TMO,TMO,USD,19,515.5900269,0,9796.21051,19,7.69E-05
"06/21/2022, 10:24:38",SELL,TMO,TMO,USD,19,513.7325,0,-9760.9175,0,-0.003602721
"06/21/2022, 10:24:38",BUY,GOOG,GOOG,USD,4,2244.228251,0,8976.913005,4,0.00020171
"06/21/2022, 10:36:23",SELL,GOOG,GOOG,USD,4,2247.1,0,-8988.4,0,0.001279615
"06/21/2022, 10:36:23",BUY,FRT,FRT,USD,104,96.02999878,0,9987.119873,104,6.51E-05
"06/21/2022, 10:49:10",SELL,FRT,FRT,USD,104,96.02999878,0,-9987.119873,0,0
"06/21/2022, 10:49:10",BUY,FRT,FRT,USD,104,95.98000336,0,9981.920349,104,8.23E-05
"06/21/2022, 11:02:27",SELL,FRT,FRT,USD,104,95.915,0,-9975.16,0,-0.000677259
"06/21/2022, 11:02:27",BUY,MPC,MPC,USD,110,90.52999878,0,9958.299866,110,0.000234874
"06/21/2022, 11:14:54",SELL,MPC,MPC,USD,110,90.39,0,-9942.9,0,-0.001546435
"06/21/2022, 11:14:54",BUY,FRT,FRT,USD,104,95.76999664,0,9960.079651,104,4.84E-05
"06/21/2022, 11:27:20",SELL,FRT,FRT,USD,104,96,0,-9984,0,0.002401622
"06/21/2022, 11:27:20",BUY,GOOG,GOOG,USD,4,2236.529134,0,8946.116536,4,0.000264709
"06/21/2022, 11:39:04",SELL,GOOG,GOOG,USD,4,2244.19,0,-8976.76,0,0.003425337
