dt,profit_sum,return,daily_return,weekly_return,monthly_return
2022-07-18 13:28:51,-246.6195069999876,0.0018583320517733873,-0.0194716982766541,-0.0194716982766541,-0.0019595536091190327
2022-07-18 13:41:19,-274.82850799998687,-0.002828265208080538,-0.022307609770488755,-0.022307609770488755,-0.004846114219615666
2022-07-18 13:53:10,-272.0983649999862,0.0002733554648134894,-0.022033142627412176,-0.022033142627412176,-0.004566745118780607
2022-07-18 14:05:38,-272.0983649999862,0.0,-0.022033142627412176,-0.022033142627412176,-0.004566745118780607
2022-07-18 14:18:05,-272.0983649999862,0.0,-0.022033142627412176,-0.022033142627412176,-0.004566745118780607
2022-07-18 14:30:31,-272.0983649999862,0.0,-0.022033142627412176,-0.022033142627412176,-0.004566745118780607
2022-07-18 14:42:58,-272.0983649999862,0.0,-0.022033142627412176,-0.022033142627412176,-0.004566745118780607
2022-07-18 14:54:45,-329.6103789999879,-0.005757840292332301,-0.027814948992557244,-0.027814948992557244,-0.010451814010186404
2022-07-19 14:50:40,-658.9656649999879,0.033224516664810105,0.0,-0.06092574370388465,-0.04415396444885254
2022-07-19 15:00:53,-628.3415659999891,0.0030770764676152406,0.0032784483925141824,-0.0578470372178792,-0.04102027255010882
2022-07-21 11:30:56,-511.96136899999055,0.011806312867584354,0.0,-0.046147085903508085,-0.029111361188730124
2022-07-21 11:44:03,-511.96136899999055,0.0,0.0,-0.046147085903508085,-0.029111361188730124
2022-07-21 11:56:55,-344.9611709999908,0.01686572583947087,0.01760112964278652,-0.029358197102346016,-0.012022624388304426
2022-07-21 12:08:42,-372.15666799999144,-0.002737021219251632,0.014734836823199392,-0.03209221886096305,-0.01480547552234789
2022-07-21 12:20:48,-323.2730499999916,0.004912967719852842,0.019886967827418084,-0.027177843688782163,-0.009803330064684661
2022-07-21 12:33:32,-259.239667999992,0.0065858542049167575,0.026635821251221284,-0.020740430183677393,-0.0032509449505115947
2022-07-21 12:46:59,-165.61457599999176,0.009416300204372273,0.03650351842670492,-0.011328098477420608,0.006329490128395523
2022-07-21 12:58:47,-84.21477899999172,0.008255448439322436,0.04508272011060685,-0.003144801950609222,0.014658939573366421
